Agent Index,Group Index,Cities Visited,Chance meetings with group
1648,48,10,1
1649,49,12,1
1650,50,13,2
1651,51,10,2
1652,52,12,3
1653,53,11,2
1654,54,8,1
1655,55,16,3
1656,56,12,1
1657,57,7,1
1658,58,13,1
1659,59,15,3
1660,60,14,5
1661,61,11,1
1662,62,10,0
1663,63,8,1
1664,64,15,0
1665,65,13,2
1666,66,15,2
1667,67,11,2
1668,68,13,2
1669,69,10,0
1670,70,12,3
1671,71,11,2
1672,72,9,2
1673,73,9,1
1674,74,12,1
1675,75,13,3
1676,76,12,1
1677,77,10,3
1678,78,13,3
1679,79,12,1
1680,80,11,2
1681,81,11,2
1682,82,12,3
1683,83,7,2
1684,84,12,1
1685,85,10,1
1686,86,9,1
1687,87,10,2
1688,88,11,0
1689,89,9,1
1690,90,13,2
1691,91,13,2
1692,92,9,1
1693,93,12,2
1694,94,13,4
1695,95,15,4
1696,96,10,0
1697,97,12,0
1698,98,9,1
1699,99,13,2
1700,0,11,2
1701,1,12,1
1702,2,13,0
1703,3,13,2
1704,4,10,3
1705,5,15,1
1706,6,10,3
1707,7,10,2
1708,8,9,2
1709,9,9,2
1710,10,12,2
1711,11,10,2
1712,12,10,3
1713,13,10,2
1714,14,12,1
1715,15,13,3
1716,16,9,2
1717,17,9,3
1718,18,10,1
1719,19,13,0
1720,20,11,1
1721,21,11,2
1722,22,8,4
1723,23,11,2
1724,24,12,4
1725,25,10,0
1726,26,12,2
1727,27,10,1
1728,28,14,1
1729,29,12,3
1730,30,12,1
1731,31,9,2
1732,32,10,3
1733,33,13,3
1734,34,14,2
1735,35,13,1
1736,36,12,2
1737,37,10,2
1738,38,11,2
1739,39,10,2
1740,40,9,3
1741,41,10,1
1742,42,12,5
1743,43,11,2
1744,44,10,0
1745,45,13,3
1746,46,10,3
1747,47,9,1
1748,48,9,2
1749,49,10,1
1750,50,11,1
1751,51,13,0
1752,52,12,2
1753,53,11,1
1754,54,10,1
1755,55,12,3
1756,56,9,1
1757,57,10,3
1758,58,14,8
1759,59,9,0
1760,60,10,2
1761,61,11,0
1762,62,9,0
1763,63,13,2
1764,64,12,2
1765,65,13,4
1766,66,13,1
1767,67,11,1
1768,68,13,2
1769,69,10,2
1770,70,12,2
1771,71,12,2
1772,72,15,0
1773,73,9,5
1774,74,10,1
1775,75,8,3
1776,76,13,3
1777,77,9,0
1778,78,10,0
1779,79,12,4
1780,80,9,3
1781,81,8,1
1782,82,14,3
1783,83,11,2
1784,84,8,0
1785,85,9,0
1786,86,7,0
1787,87,11,4
1788,88,10,3
1789,89,10,2
1790,90,11,2
1791,91,11,6
1792,92,10,1
1793,93,12,3
1794,94,11,3
1795,95,12,4
1796,96,10,3
1797,97,10,0
1798,98,8,2
1799,99,12,1
1800,0,9,1
1801,1,10,0
1802,2,11,1
1803,3,10,2
1804,4,10,4
1805,5,13,5
1806,6,11,0
1807,7,11,0
1808,8,12,3
1809,9,9,1
1810,10,11,1
1811,11,9,2
1812,12,8,5
1813,13,11,1
1814,14,8,1
1815,15,12,1
1816,16,9,1
1817,17,10,3
1818,18,13,0
1819,19,13,4
1820,20,8,1
1821,21,12,0
1822,22,9,0
1823,23,11,4
1824,24,8,1
1825,25,10,3
1826,26,8,1
1827,27,9,2
1828,28,9,0
1829,29,13,1
1830,30,9,2
1831,31,10,0
1832,32,9,3
1833,33,11,1
1834,34,11,3
1835,35,10,1
1836,36,11,1
1837,37,9,0
1838,38,11,5
1839,39,10,0
1840,40,11,2
1841,41,13,3
1842,42,8,0
1843,43,10,3
1844,44,8,0
1845,45,9,3
1846,46,9,1
1847,47,10,5
1848,48,11,2
1849,49,9,0
1850,50,10,1
1851,51,12,1
1852,52,9,0
1853,53,11,6
1854,54,10,2
1855,55,11,1
1856,56,11,0
1857,57,12,4
1858,58,11,2
1859,59,11,3
1860,60,11,2
1861,61,9,1
1862,62,10,3
1863,63,12,1
1864,64,9,3
1865,65,11,3
1866,66,14,2
1867,67,9,1
1868,68,10,3
1869,69,10,1
1870,70,11,5
1871,71,12,2
1872,72,12,2
1873,73,12,3
1874,74,9,2
1875,75,11,2
1876,76,11,4
1877,77,11,1
1878,78,11,1
1879,79,11,2
1880,80,8,1
1881,81,13,0
1882,82,8,2
1883,83,9,1
1884,84,10,3
1885,85,8,1
1886,86,9,1
1887,87,13,5
1888,88,10,1
1889,89,9,0
1890,90,12,3
1891,91,8,1
1892,92,13,2
1893,93,8,1
1894,94,8,1
1895,95,12,4
1896,96,13,2
1897,97,11,1
1898,98,13,6
1899,99,11,1
1900,0,10,4
1901,1,13,1
1902,2,13,2
1903,3,13,4
1904,4,10,2
1905,5,11,3
1906,6,10,0
1907,7,12,4
1908,8,11,3
1909,9,13,1
1910,10,10,5
1911,11,12,1
1912,12,13,2
1913,13,12,4
1914,14,9,0
1915,15,16,3
1916,16,9,3
1917,17,15,6
1918,18,10,1
1919,19,12,2
1920,20,11,3
1921,21,13,3
1922,22,10,4
1923,23,9,1
1924,24,9,1
1925,25,11,2
1926,26,11,6
1927,27,12,3
1928,28,10,4
1929,29,11,2
1930,30,9,1
1931,31,10,1
1932,32,9,0
1933,33,9,0
1934,34,8,5
1935,35,11,3
1936,36,11,0
1937,37,8,1
1938,38,8,3
1939,39,12,1
1940,40,10,3
1941,41,8,0
1942,42,11,1
1943,43,8,1
1944,44,10,3
1945,45,13,4
1946,46,10,1
1947,47,11,4
1948,48,10,1
1949,49,15,1
1950,50,11,1
1951,51,9,1
1952,52,11,3
1953,53,14,3
1954,54,11,0
1955,55,12,2
1956,56,9,1
1957,57,10,3
1958,58,8,1
1959,59,12,2
1960,60,14,2
1961,61,10,0
1962,62,13,2
1963,63,10,0
1964,64,13,6
1965,65,10,3
1966,66,13,1
1967,67,10,2
1968,68,11,1
1969,69,11,0
1970,70,13,1
1971,71,11,2
1972,72,12,2
1973,73,11,0
1974,74,10,3
1975,75,13,2
1976,76,11,1
1977,77,11,2
1978,78,11,2
1979,79,11,3
1980,80,10,1
1981,81,11,4
1982,82,12,1
1983,83,10,1
1984,84,7,1
1985,85,8,2
1986,86,10,1
1987,87,7,0
1988,88,12,2
1989,89,11,1
1990,90,14,3
1991,91,8,1
1992,92,8,1
1993,93,12,2
1994,94,9,0
1995,95,14,1
1996,96,12,2
1997,97,13,0
1998,98,14,3
1999,99,10,2
